AQC00914000        6380R
USC00133718         227R
USC00133909         285S
USC00133985         305R
USC00134038         214R
USC00134049         360R
USC00134063         336S
USC00134094         323Q
USC00134101         408S
USC00134142         333R
USC00134228         329S
USC00134244         333R
USC00134308         276S
USC00134342         244R
USC00134381         513S
USC00134389         519R
USC00134502         402R
USC00134557         298S
USC00134561         229R
USC00134585         402S
USC00134620         386R
USC00134624         379Q
USC00134705         499R
USC00134735         201R
USC00134758         367S
USC00134874         287Q
USC00134894         281S
USC00134926         380R
USC00134963         519R
USC00135086         348S
USC00135123         251R
USC00135127         257R
USC00135131         447R
USC00135198         311S
USC00135230         289S
USC00135232         309Q
USC00135250         301R
USC00135493         200R
USC00135650         359S
USC00135769         311R
USC00135796         470R
USC00135837         504S
USC00135844         466R
USC00135952         381S
USC00135992         297R
USC00136103         304R
USC00136151         315R
USC00136160         486Q
USC00136190         187R
USC00136199         330Q
USC00136200         372R
USC00136243         212S
USC00136305         372R
USC00136316         350R
USC00136327         434R
USC00136392         550Q
USC00136492         329R
USC00136527         296S
USC00136566         300R
USC00136590         240Q
USC00136719         298R
USC00136755         241S
USC00136766         342R
USC00136800         225R
USC00136891         281S
USC00136910         349R
USC00136940         322S
USC00137147         189R
USC00137152         188R
USC00137161         257R
USC00137312         273R
USC00137326         306Q
USC00137386         252S
USC00137594         259C
USC00137613         333R
USC00137664         202R
USC00137669         286R
USC00137678         383R
USC00137700         241C
USC00137713         283R
USC00137726         218S
USC00137844         184S
USC00137859         144R
USC00137892         331Q
USC00137979         225R
USC00138009         385Q
USC00138026         225R
USC00138062         369R
USC00138266         421R
USC00138270         243R
USC00138296         327S
USC00138339         340R
USC00138410         281Q
USC00138568         378S
USC00138632         289S
USC00138668         468R
USC00138688         427R
USC00138742         344R
USC00138755         354Q
USC00138806         287R
USC00139062         318R
USC00139067         386R
USC00139132         306R
USC00139750         268S
USC00140010         317S
USC00140073         264Q
USC00140119         233Q
USC00140135         234S
USC00140190         580Q
USC00140195         345C
USC00140200         216Q
USC00140201         211R
USC00140313         399S
USC00140326         293Q
USC00140365         221S
USC00140405         347S
USC00140439         184S
USC00140441         147R
USC00140443         354S
USC00140447         381S
USC00140535         242Q
USC00140548         604R
USC00140620         188R
USC00140637         426Q
USC00140676         183S
USC00140679         351R
USC00140682         243R
USC00140693         228S
USC00140802         144Q
USC00140810         542Q
USC00140836         125S
USC00140865         228R
USC00140877         320R
USC00140911         268S
USC00140926         351Q
USC00140957         426C
USC00141003         278S
USC00141029         134R
USC00141057         312R
USC00141068         211Q
USC00141104         199S
USC00141141         209S
USC00141179         211R
USC00141202         337S
USC00141233         414S
USC00141239         422R
USC00141282         560Q
USC00141351         312R
USC00141355         200R
USC00141371         245S
USC00141383         187S
USC00141395         427S
USC00141404         488R
USC00141408         286R
USC00141425         288R
USC00141428         522Q
USC00141435         287R
USC00141452         245S
USC00141467         299Q
USC00141478         563R
USC00141522         200S
USC00141536         256S
USC00141559         281S
USC00141593         241S
USC00141612         312R
USC00141632         232Q
USC00141673         615Q
USC00141699         137S
USC00141704         257C
USC00141730         174S
USC00141733         501Q
USC00141740         632S
USC00141761         262Q
USC00141795         333S
USC00141858         353S
USC00141867         308S
USC00141874         226Q
USC00141875         230S
USC00141941         229Q
USC00141999         196C
USC00142086         165S
USC00142135         300S
USC00142213         170S
USC00142267         364S
USC00142276         318Q
USC00142329         342Q
USC00142388         347R
USC00142396         332Q
USC00142401         377S
USC00142409         499R
USC00142432         152S
USC00142452         213S
USC00142459         261R
USC00142472         335Q
USC00142478         331R
USC00142519         304R
USC00142548         339S
USC00142574         360R
USC00142582         557R
USC00142592         216R
USC00142602         351R
USC00142622         424S
USC00142652         220R
USC00142686         402R
USC00142773         297R
USC00142835         543S
USC00142848         285S
USC00142872         326R
USC00142894         485R
USC00142938         219Q
USC00142945         556R
USC00142980         159R
USC00143008         496S
USC00143037         245R
USC00143074         631R
USC00143088         248Q
USC00143100         213S
USC00143134         284R
USC00143138         314S
USC00143156         123Q
USC00143175         159S
USC00143218         229S
USC00143239         214S
USC00143248         447S
USC00143257         436R
USC00143323         242S
USC00143331         512R
USC00143366         296Q
USC00143398         255R
USC00143467         387R
USC00143523         179R
USC00143527         193S
USC00143545         352Q
USC00143554         179S
USC00143594         343R
USC00143620         304Q
USC00143634         312R
USC00143665         191S
USC00143667         309S
USC00143686         433R
USC00143759         359R
USC00143810         347S
USC00143822         453S
USC00143837         175S
USC00143842         389R
USC00143847         276S
USC00143855         150S
USC00143867         514R
USC00143897         237R
USC00143929         321R
USC00143930         279S
USC00143954         582S
USC00143974         297C
USC00143984         466S
USC00143997         204C
USC00144073         173R
USC00144087         224S
USC00144089         235S
USC00144104         382R
USC00144114         145R
USC00144161         178S
USC00144166         159R
USC00144178         237R
USC00144313         312S
USC00144333         255S
USC00144357         195Q
USC00144421         496R
USC00144464         138S
USC00144488         460Q
USC00144530         235R
USC00144559         394S
USC00144588         409R
USC00144598         221C
USC00144608         395C
USC00144613         392S
USC00144642         157R
USC00144665         152R
USC00144675         441R
USC00144695         180S
USC00144708         274S
USC00144712         257S
USC00144729         309R
USC00144735         299S
USC00144775         171S
USC00144802         298R
USC00144807         177C
USC00144812         504S
USC00144821         200S
USC00144857         202S
USC00144893         221Q
USC00144912         352R
USC00144937         411S
USC00144972         278S
USC00144982         234S
USC00145039         289S
USC00145063         273S
USC00145069         331S
USC00145115         199S
USC00145127         165C
USC00145132         302C
USC00145152         302S
USC00145171         225S
USC00145173         258R
USC00145210         369R
USC00145306         274S
USC00145321         356Q
USC00145335         296S
USC00145355         141S
USC00145363         307S
USC00145421         186R
USC00145463         502S
USC00145483         181R
USC00145528         543R
USC00145536         588R
USC00145539         333S
USC00145628         241S
USC00145632         515Q
USC00145692         194R
USC00145744         294S
USC00145768         242R
USC00145787         129R
USC00145852         180R
USC00145856         191S
USC00145863         188Q
USC00145870         309R
USC00145888         146R
USC00145892         137R
USC00145906         170S
USC00145920         220S
USC00145972         472S
USC00146014         292R
USC00146076         377R
USC00146084         426S
USC00146088         184R
USC00146100         391R
USC00146115         635C
USC00146128         448S
USC00146154         396R
USC00146169         402R
USC00146192         190R
USC00146209         474S
USC00146217         297S
USC00146242         524R
USC00146292         314Q
USC00146305         359S
USC00146333         353R
USC00146340         328R
USC00146378         188R
USC00146414         632R
USC00146435         210R
USC00146498         413R
USC00146524         323R
USC00146549         261S
USC00146573         299Q
USC00146637         207R
USC00146679         271R
USC00146685         192S
USC00146725         406R
USC00146787         148S
USC00146808         142R
USC00146813         116S
USC00146907         406Q
USC00146979         362S
USC00147007         310S
USC00147049         146R
USC00147050         109R
USC00147075         314R
USC00147093         132S
USC00147095         145C
USC00147140         220S
USC00147192         240Q
USC00147248         198R
USC00147271         185C
USC00147305         504S
USC00147313         297R
USC00147397         161S
USC00147407         405Q
USC00147534         380R
USC00147542         173C
USC00147551         277Q
USC00147796         268S
USC00147809         490S
USC00147832         181R
USC00147904         138R
USC00147922         146S
USC00147965         281Q
USC00147968         253R
USC00148026         243Q
USC00148038         142S
USC00148061         327Q
USC00148086         271S
USC00148114         370R
USC00148156         418S
USC00148235         151S
USC00148240         135Q
USC00148245         239S
USC00148250         354C
USC00148257         267R
USC00148259         250R
USC00148287         140S
USC00148293         579R
USC00148323         213S
USC00148341         381S
USC00148495         218S
USC00148498         175S
USC00148503         252R
USC00148535         141Q
USC00148549         597S
USC00148563         295S
USC00148578         288S
USC00148648         190R
USC00148670         360S
USC00148802         310S
USC00148892         423R
USC00148911         307R
USC00148914         263R
USC00148935         343Q
USC00148946         201R
USC00148950         295Q
USC00148964         472S
USC00148988         134R
USC00149020         339Q
USC00149026         263R
USC00149040         402R
USC00149080         465R
USC00149202         291Q
USC00150012        1417S
USC00150063        1400R
USC00150254        1004R
USC00150381        1264S
USC00150397        1206R
USC00150402        1258R
USC00150422        1251S
USC00150450        1246S
USC00150483        1153Q
USC00150490        1239R
USC00150619        1043R
USC00150630        1147R
USC00150700        1273S
USC00150804        1031R
USC00150858        1171Q
USC00150860        1198Q
USC00150875        1113S
USC00150904        1368R
USC00150906        1183R
USC00150940        1247C
USC00150955        1191Q
USC00151080        1214R
USC00151090        1163R
USC00151120        1085R
USC00151137        1264R
USC00151208        1364Q
USC00151210        1374R
USC00151227        1070S
USC00151251        1028Q
USC00151294        1360R
USC00151306        1354R
USC00151318        1036R
USC00151391        1222R
USC00151517         976Q
USC00151640        1503S
USC00151725        1235S
USC00151727        1245R
USC00151810        1199Q
USC00151890        1046R
USC00151895        1141Q
USC00151900        1154R
USC00151927        1291Q
USC00151948        1312Q
USC00151965        1126R
USC00151998         994R
USC00152040        1144S
USC00152072        1300C
USC00152214        1011R
USC00152250         864R
USC00152358        1130R
USC00152366        1417R
USC00152409        1119R
USC00152442        1279Q
USC00152500        1161R
USC00152512        1236R
USC00152548        1320R
USC00152575        1345Q
USC00152775         876R
USC00152791        1062S
USC00152825        1018S
USC00152903        1076Q
USC00153006        1250R
USC00153030        1077R
USC00153052        1213R
USC00153112        1293R
USC00153194        1040S
USC00153203         948R
USC00153223        1360R
USC00153230        1007Q
USC00153246        1335S
USC00153252        1259S
USC00153382        1196R
USC00153389         963R
USC00153391         973R
USC00153398         964S
USC00153430        1287S
USC00153435        1257R
USC00153629        1190Q
USC00153712        1034R
USC00153714        1155R
USC00153741        1153R
USC00153744        1176Q
USC00153762        1004R
USC00153768         980R
USC00153798        1311Q
USC00153929        1246Q
USC00153994        1287R
USC00154138        1016Q
USC00154208        1362R
USC00154369        1099S
USC00154375        1430Q
USC00154620        1048R
USC00154703        1176S
USC00154732        1098R
USC00154755        1270R
USC00154848         870S
USC00154857        1029R
USC00154905        1193R
USC00154946         919R
USC00154948        1003Q
USC00154955        1036S
USC00154958        1138Q
USC00154967        1296R
USC00155067        1171S
USC00155072        1231R
USC00155097        1254R
USC00155111        1215R
USC00155165        1380Q
USC00155175        1045R
USC00155235        1368R
USC00155243        1044R
USC00155370         982R
USC00155389        1275Q
USC00155444        1255Q
USC00155524        1322S
USC00155559         994R
USC00155640        1070R
USC00155648        1240S
USC00155694        1443S
USC00155757        1321Q
USC00155834        1294R
USC00156012        1001Q
USC00156028        1176R
USC00156091        1173R
USC00156094        1093R
USC00156117        1148R
USC00156136         978R
USC00156155        1229R
USC00156170        1107S
USC00156360        1021S
USC00156379        1250R
USC00156495        1065Q
USC00156580        1310S
USC00156595        1105R
USC00156624        1078Q
USC00156810        1109R
USC00156882        1168R
USC00156988        1138S
USC00157049        1289Q
USC00157134        1028R
USC00157215        1324R
USC00157234        1081S
USC00157300        1255Q
USC00157324        1150R
USC00157334        1126R
USC00157431        1108S
USC00157441        1169R
USC00157508        1257R
USC00157510        1257R
USC00157592         999Q
USC00157604        1129S
USC00157648        1141R
USC00157652        1104Q
USC00157677        1391R
USC00157800        1244S
USC00158070        1332R
USC00158348        1020R
USC00158432        1013Q
USC00158446         960R
USC00158551        1069R
USC00158555        1214Q
USC00158709        1297R
USC00158714         930R
USC00158824        1269S
USC00160007        1430C
USC00160012        1575Q
USC00160016        1405R
USC00160021        1570S
USC00160098        1702S
USC00160103        1681R
USC00160205        1705S
USC00160238        1587R
USC00160277        1568Q
USC00160349        1649S
USC00160462        1792S
USC00160537        1638R
USC00160546        1737R
USC00160548        1689R
USC00160558        1639C
USC00160565        1485S
USC00160617        1780S
USC00160658        1466Q
USC00160718        1427Q
USC00160800        1795S
USC00160945        1631R
USC00161232        1616S
USC00161235        1695R
USC00161246        1682R
USC00161287        1688S
USC00161365        1622R
USC00161411        1590S
USC00161535        1732R
USC00161565        1515S
USC00161866        1654Q
USC00161891        1748R
USC00161899        1714S
USC00161941        1684R
USC00161979        1729S
USC00162002        1534R
USC00162121        1451S
USC00162145        1525R
USC00162151        1585S
USC00162212        1523S
USC00162350        1580S
USC00162361        1566R
USC00162367        1764S
USC00162534        1517S
USC00162536        1560Q
USC00162641        1560R
USC00162800        1646R
USC00162812        1696R
USC00162981        1636C
USC00163079        1559Q
USC00163165        1606R
USC00163313        1426S
USC00163322        1810R
USC00163327        1669R
USC00163331        1678R
USC00163433        1457S
USC00163695        1608S
USC00163741        1699R
USC00163800        1604S
USC00163804        1507R
USC00163807        1449R
USC00163829        1445R
USC00163867        1775R
USC00163877        1513R
USC00163979        1333R
USC00164030        1660S
USC00164034        1659R
USC00164050        1577R
USC00164131        1474Q
USC00164288        1607R
USC00164355        1563S
USC00164398        1318S
USC00164407        1388R
USC00164573        1809Q
USC00164592        1578R
USC00164674        1433S
USC00164696        1688R
USC00164700        1524C
USC00164732        1667S
USC00164739        1652S
USC00164775        1425R
USC00164816        1502S
USC00164859        1793R
USC00165021        1586R
USC00165065        1561Q
USC00165072        1577Q
USC00165074        1456C
USC00165076        1562R
USC00165090        1652C
USC00165146        1637Q
USC00165266        1633S
USC00165287        1724R
USC00165296        1436R
USC00165430        1760R
USC00165438        1661S
USC00165522        1431R
USC00165527        1409R
USC00165610        1590R
USC00165620        1591S
USC00165624        1361R
USC00165630        1661S
USC00165783        1463R
USC00165874        1479R
USC00165892        1586S
USC00165896        1573R
USC00165908        1629R
USC00165926        1594Q
USC00165935        1688R
USC00166244        1555S
USC00166314        1628R
USC00166364        1363S
USC00166394        1419C
USC00166431        1710R
USC00166434        1629Q
USC00166466        1710R
USC00166582        1554S
USC00166584        1621Q
USC00166657        1394R
USC00166666        1494R
USC00166686        1738S
USC00166836        1699S
USC00166866        1580S
USC00166868        1587R
USC00166911        1810S
USC00166938        1705S
USC00166968        1554Q
USC00166978        1736S
USC00166995        1744S
USC00167096        1596S
USC00167304        1861S
USC00167312        1624Q
USC00167344        1381R
USC00167366        1610S
USC00167425        1603R
USC00167448        1681S
USC00167691        1654R
USC00167729        1423R
USC00167732        1622R
USC00167738        1423S
USC00167767        1569S
USC00167924        1525R
USC00167932        1347S
USC00168046        1617S
USC00168067        1599S
USC00168094        1615R
USC00168108        1441R
USC00168136        1810S
USC00168139        1527R
USC00168163        1627S
USC00168181        1570R
USC00168405        1901R
USC00168436        1431S
USC00168444        1493Q
USC00168448        1385Q
USC00168539        1549S
USC00168543        1572R
USC00168669        1542R
USC00168785        1533R
USC00168831        1571S
USC00168861        1646R
USC00168906        1527Q
USC00168923        1639S
USC00168941        1611R
USC00169013        1676R
USC00169074        1590Q
USC00169357        1580R
USC00169369        1740R
USC00169392        1352R
USC00169480        1710R
USC00169631        1452R
USC00169803        1605R
USC00169804        1666Q
USC00169806        1625S
USC00169809        1763R
USC00169930        1794R
USC00170100        1475R
USC00170177        1066R
USC00170200         699R
USC00170217        1042Q
USC00170398         983R
USC00170409        1120R
USC00170480        1053R
USC00170600         886R
USC00170655        1062R
USC00170814         816S
USC00170833         900R
USC00171131        1103Q
USC00171472         723R
USC00171628         950S
USC00171833        1008R
USC00171975         961S
USC00172048        1114R
USC00172238        1083S
USC00172426        1122R
USC00172602        1077R
USC00172620        1141R
USC00172623        1186Q
USC00172700         773S
USC00172765        1021S
USC00172878         746S
USC00173046        1016R
USC00173261        1148S
USC00173295        1090R
USC00173353         941Q
USC00173417        1006R
USC00173567         880S
USC00173570        1112R
USC00173588         645S
USC00173862        1168R
USC00173944         929R
USC00174086         776S
USC00174183        1306R
USC00174193        1144R
USC00174324         940S
USC00174566        1004S
USC00174683        1006Q
USC00174745         981Q
USC00174781         817S
USC00174817        1036R
USC00174878        1310S
USC00174927         840S
USC00175261         733S
USC00175304         896S
USC00175347         977Q
USC00175460         795S
USC00175675        1161S
USC00175736        1014R
USC00176011        1050Q
USC00176060        1068Q
USC00176430         967R
USC00176594         954Q
USC00176705         909R
USC00176707         915Q
USC00176721         865R
USC00176856         982R
USC00176875         891Q
USC00176881        1122R
USC00176937         663S
USC00177037         824S
USC00177039         716R
USC00177174         958R
USC00177238        1367R
USC00177325         885R
USC00177479        1164S
USC00177654        1013R
USC00178353        1052R
USC00178792        1221Q
USC00178817        1047Q
USC00178965         744S
USC00178974         948R
USC00179151         871R
USC00179294        1170R
USC00179314        1057S
USC00179538         910R
USC00179547        1217Q
USC00179593        1311R
USC00179891        1091R
USC00180193         982R
USC00180335        1100S
USC00180700         859R
USC00180732        1076R
USC00181530        1001R
USC00181750         966S
USC00181862         960R
USC00181995         932R
USC00182060        1032R
USC00182282         788S
USC00182325         927S
USC00182335         948R
USC00182336        1017R
USC00182770         913R
USC00182906         921S
USC00183348         891R
USC00183353         912Q
USC00183415         973C
USC00183675         921R
USC00184030         777R
USC00185080         891R
USC00185111         996R
USC00185832        1239R
USC00185865        1001S
USC00185894         861R
USC00185934        1004R
USC00186350         919R
USC00186620        1059R
USC00186770         953R
USC00186800         922Q
USC00187272         849R
USC00187330        1033R
USC00187705         859R
USC00187806        1047S
USC00188000        1045S
USC00188065         798R
USC00188207         859Q
USC00188371         875Q
USC00188380        1038C
USC00189030         890R
USC00189070         874R
USC00189140        1072R
USC00189440         901R
USC00189570         807Q
USC00189750        1021R
USC00190120         989S
USC00190190        1142S
USC00190192        1063Q
USC00190213        1134S
USC00190408        1009S
USC00190535        1155S
USC00190551        1377R
USC00190562        1003S
USC00190593        1151R
USC00190666        1034R
USC00190759        1192R
USC00190840        1244Q
USC00190860        1196S
USC00190998        1090R
USC00191386        1245S
USC00191436        1109R
USC00191611        1132R
USC00192107        1110S
USC00192451        1228S
USC00192501        1135C
USC00192997        1194S
USC00193052        1080R
USC00193213        1027R
USC00193229        1130Q
USC00193276        1173R
USC00193401        1170R
USC00193405        1004R
USC00193471        1215R
USC00193505        1122R
USC00193549        1132R
USC00193624        1289S
USC00193702         942R
USC00193821        1115S
USC00193876        1205R
USC00193890        1184Q
USC00193985        1085R
USC00194075         938R
USC00194105        1412Q
USC00194131        1039Q
USC00194313        1037R
USC00194502        1163R
USC00194580        1139S
USC00194711        1271R
USC00194744        1077S
USC00194760        1136R
USC00195175        1066S
USC00195246        1254R
USC00195285        1143S
USC00195306        1291R
USC00195524        1135S
USC00195984        1272S
USC00196245        1165R
USC00196435        1022R
USC00196486        1302S
USC00196783        1217S
USC00196938        1241S
USC00197627        1212R
USC00198278        1028C
USC00198367        1171R
USC00198573        1024R
USC00198757        1184S
USC00198793        1030S
USC00199193        1151Q
USC00199316        1169R
USC00199371        1021R
USC00199972        1228R
USC00200032         649S
USC00200089         548Q
USC00200094         627R
USC00200106         620Q
USC00200128         857R
USC00200146         559C
USC00200228         729Q
USC00200230         789C
USC00200342         502Q
USC00200417         563S
USC00200446         584R
USC00200632         454R
USC00200718         852R
USC00200758         612Q
USC00200770         562Q
USC00200779         624S
USC00200842         658Q
USC00200864         794S
USC00200925         654S
USC00201238         581Q
USC00201299         538R
USC00201343         536Q
USC00201361         560S
USC00201435         419Q
USC00201439         517R
USC00201468         653R
USC00201476         548R
USC00201486         520R
USC00201492         509S
USC00201502         582R
USC00201522         522Q
USC00201675         662R
USC00201802         343R
USC00201818         539Q
USC00201896         486R
USC00202015         682R
USC00202016         648Q
USC00202094         541S
USC00202140         673R
USC00202250         807S
USC00202308         672Q
USC00202328         517Q
USC00202381         549S
USC00202395         495R
USC00202423         561S
USC00202427         617Q
USC00202437         589R
USC00202445         652S
USC00202503         703Q
USC00202631         483R
USC00202691         590Q
USC00202788         627Q
USC00202804         558Q
USC00202851         529R
USC00202984         677R
USC00203078         455Q
USC00203096         804S
USC00203099         776R
USC00203188         479Q
USC00203268         467Q
USC00203278         544Q
USC00203290         654R
USC00203295         701Q
USC00203306         565R
USC00203391         467R
USC00203429         551S
USC00203477         635R
USC00203504         658R
USC00203529         477R
USC00203585         680R
USC00203628         436R
USC00203632         738R
USC00203639         571Q
USC00203661         642S
USC00203712         566Q
USC00203744         654S
USC00203769         646R
USC00203823         669R
USC00203858         634R
USC00203930         512Q
USC00203932         474R
USC00203947         520S
USC00203969         655S
USC00204078         583R
USC00204090         378S
USC00204104         531R
USC00204130         437Q
USC00204257         545S
USC00204258         652Q
USC00204320         665R
USC00204399         595Q
USC00204502         482S
USC00204655         519R
USC00204659         567Q
USC00204793         569Q
USC00204808         580Q
USC00204939         603R
USC00204944         825S
USC00204954         614Q
USC00204967         500Q
USC00205050         595Q
USC00205065         575R
USC00205073         431Q
USC00205097         715R
USC00205168         464Q
USC00205406         408Q
USC00205434         510R
USC00205451         662Q
USC00205452         563Q
USC00205531         417R
USC00205533         489Q
USC00205558         664R
USC00205567         497R
USC00205591         599Q
USC00205603         705S
USC00205662         526R
USC00205690         903R
USC00205807         588Q
USC00205822         630Q
USC00205892         759S
USC00206007         587R
USC00206012         490R
USC00206158         385R
USC00206184         519R
USC00206220         752R
USC00206228        1107Q
USC00206300         533R
USC00206442         610Q
USC00206507         581R
USC00206510         664Q
USC00206583         555Q
USC00206587         541Q
USC00206658         592R
USC00206662         526Q
USC00206663         586Q
USC00206680         607R
USC00206982         627Q
USC00207094         530R
USC00207190         569R
USC00207222         546R
USC00207274         498R
USC00207280         521R
USC00207308         622Q
USC00207312         659Q
USC00207350         504R
USC00207364         692R
USC00207419         475Q
USC00207684         707Q
USC00207690         689Q
USC00207742         421R
USC00207812         312S
USC00207820         470R
USC00207867         316R
USC00208043         847Q
USC00208080         640Q
USC00208184         651S
USC00208202         642Q
USC00208249         669Q
USC00208293         545R
USC00208345         791Q
USC00208417         563R
USC00208443         546Q
USC00208468         533R
USC00208680         399R
USC00208706         431Q
USC00208772         654R
USC00208774         647Q
USC00208779         558Q
USC00208800         489S
USC00208890         668R
USC00208920         631R
USC00208941         628Q
USC00208972         698Q
USC00209006         539R
USC00209110         661Q
USC00209188         512S
USC00210018         235R
USC00210050         167S
USC00210059         276R
USC00210075         253S
USC00210146         331Q
USC00210157         260R
USC00210190         269Q
USC00210252         202C
USC00210287         226S
USC00210355         300Q
USC00210387         259R
USC00210515         154R
USC00210564         359Q
USC00210643         218Q
USC00210667         213S
USC00210746         222Q
USC00210809         207Q
USC00210852         276R
USC00210939         225S
USC00210973         202Q
USC00210981         238R
USC00210989         277S
USC00211063         229R
USC00211065         267Q
USC00211074         320R
USC00211107         232R
USC00211174         299Q
USC00211198         363R
USC00211245         192R
USC00211250         200Q
USC00211263         258S
USC00211303         160R
USC00211374         222R
USC00211390         301R
USC00211448         306R
USC00211465         256R
USC00211468         284Q
USC00211630         292S
USC00211669         241R
USC00211691         243S
USC00211771         245Q
USC00211891         168R
USC00212015         198Q
USC00212023         239Q
USC00212038         171S
USC00212050         218Q
USC00212088         245Q
USC00212142         198R
USC00212486         316S
USC00212500         242R
USC00212543         296R
USC00212555         269Q
USC00212576         272Q
USC00212645         220R
USC00212698         300R
USC00212721         289S
USC00212737         266R
USC00212768         213R
USC00212842         183R
USC00212881         288R
USC00212916         198R
USC00213076         305R
USC00213174         161R
USC00213282         229R
USC00213290         274S
USC00213296         405Q
USC00213303         264S
USC00213311         208R
USC00213411         181R
USC00213417         278R
USC00213455         188R
USC00213520         308S
USC00213567         261R
USC00213793         286S
USC00213808         353Q
USC00213962         207R
USC00214008         199R
USC00214103         194R
USC00214106         218S
USC00214176         230R
USC00214191         241Q
USC00214233         225Q
USC00214306         170R
USC00214418         336S
USC00214438         262R
USC00214453         168R
USC00214534         211R
USC00214546         182S
USC00214563         351S
USC00214652         202S
USC00214778         221R
USC00214793         195S
USC00214809         214R
USC00214861         299S
USC00214884         285R
USC00214918         415R
USC00214937         236R
USC00214994         175R
USC00215012         214R
USC00215073         277R
USC00215175         254R
USC00215204         286R
USC00215325         212R
USC00215392         263R
USC00215400         202R
USC00215482         164R
USC00215488         304S
USC00215563         269R
USC00215571         305R
USC00215586         223R
USC00215590         256Q
USC00215598         263S
USC00215615         246R
USC00215638         217C
USC00215838         323R
USC00215842         277S
USC00215887         214R
USC00215902         182Q
USC00216152         197R
USC00216166         187R
USC00216211         246Q
USC00216225         215Q
USC00216228         158R
USC00216276         159R
USC00216287         260S
USC00216405         188S
USC00216547         232S
USC00216565         195R
USC00216612         223S
USC00216654         353S
USC00216787         178S
USC00216795         233R
USC00216817         316S
USC00216822         239R
USC00216839         233R
USC00216920         211Q
USC00217011         300Q
USC00217020         243R
USC00217107         317R
USC00217149         221R
USC00217157         194R
USC00217184         314R
USC00217326         235R
USC00217377         287R
USC00217379         273Q
USC00217405         224R
USC00217460         210R
USC00217502         268S
USC00217907         205S
USC00217917         311Q
USC00217941         329Q
USC00218025         232R
USC00218037         285R
USC00218039         307Q
USC00218191         209Q
USC00218227         304R
USC00218307         265Q
USC00218311         187R
USC00218323         196R
USC00218419         322C
USC00218421         377Q
USC00218429         208R
USC00218450         218R
USC00218477         253R
USC00218520         226R
USC00218552         308S
USC00218579         219S
USC00218618         213R
USC00218679         208R
USC00218692         373S
USC00218700         185Q
USC00218808         227R
USC00218907         215R
USC00218947         186Q
USC00218986         302Q
USC00219004         213S
USC00219033         259R
USC00219046         274S
USC00219059         226S
USC00219067         354R
USC00219072         292S
USC00219085         181R
USC00219101         284R
USC00219134         374R
USC00219170         210S
USC00219173         235R
USC00219208         258R
USC00219231         282Q
USC00219249         287S
USC00220008        1603S
USC00220021        1595S
USC00220039        1534R
USC00220173        1543R
USC00220218        1554Q
USC00220237        1480S
USC00220290        1552S
USC00220378        1634R
USC00220488        1570R
USC00220521        1514R
USC00220523        1639Q
USC00220585        1689R
USC00220660        1586R
USC00220792        1509R
USC00220955        1629S
USC00221094        1829S
USC00221111        1469R
USC00221152        1618S
USC00221174        1695S
USC00221262        1477R
USC00221314        1560R
USC00221389        1574R
USC00221489        1560S
USC00221578        1831S
USC00221606        1540R
USC00221707        1602R
USC00221738        1499R
USC00221743        1502R
USC00221804        1666S
USC00221852        1644R
USC00221860        1592S
USC00221865        1752S
USC00221880        1606S
USC00221962        1531R
USC00222034        1714R
USC00222046        1577R
USC00222094        1762R
USC00222385        1644S
USC00222658        1526R
USC00222773        1547S
USC00222896        1578R
USC00223107        1671R
USC00223208        1691S
USC00223340        1641S
USC00223605        1536R
USC00223645        1715S
USC00223650        1550Q
USC00223671        1612R
USC00223700        1643S
USC00223887        1760S
USC00223920        1673S
USC00223975        1509R
USC00224001        1641R
USC00224173        1482S
USC00224265        1591R
USC00224377        1411S
USC00224455        1711R
USC00224702        1591R
USC00224776        1683S
USC00224816        1631R
USC00224842        1341R
USC00224869        1597S
USC00224939        1595S
USC00224966        1664S
USC00225020        1580Q
USC00225062        1641S
USC00225247        1613R
USC00225361        1609R
USC00225611        1871R
USC00225704        1736R
USC00225897        1738R
USC00225943        1662S
USC00225987        1774S
USC00226009        1577S
USC00226084        1427S
USC00226177        1705S
USC00226256        1610S
USC00226294        1556R
USC00226308        1590S
USC00226476        1577R
USC00226484        1510R
USC00226513        1579Q
USC00226527        1578Q
USC00226638        1531Q
USC00226640        1663Q
USC00226642        1733Q
USC00226643        1657Q
USC00226644        1655Q
USC00226718        1520S
USC00226750        1534R
USC00226811        1749R
USC00226894        1650S
USC00226921        1653R
USC00227066        1482S
USC00227106        1684S
USC00227111        1638S
USC00227128        1655S
USC00227132        1597S
USC00227172        1698R
USC00227220        1699S
USC00227276        1653Q
USC00227444        1633R
USC00227467        1606R
USC00227537        1731R
USC00227560        1611R
USC00227595        1556Q
USC00227807        1524S
USC00227815        1591S
USC00227831        1622Q
USC00227840        1658S
USC00227921        1489S
USC00228053        1611S
USC00228145        1543R
USC00228374        1629S
USC00228413        1375R
USC00228445        1561S
USC00228556        1738S
USC00228899        1594Q
USC00228998        1508R
USC00229004        1616Q
USC00229006        1518R
USC00229048        1757S
USC00229072        1740R
USC00229079        1686S
USC00229114        1658S
USC00229157        1671R
USC00229173        1609R
USC00229216        1627R
USC00229230        1715Q
USC00229326        1727S
USC00229400        1623R
USC00229426        1570S
USC00229439        1594R
USC00229597        1677S
USC00229639        1703R
USC00229743        1625S
USC00229793        1847R
USC00229860        1733S
