AQC00914000        3963R
USC00118254        1262Q
USC00118293        1345S
USC00118324        1288R
USC00118353        1212S
USC00118389        1184R
USC00118491        1169Q
USC00118630        1202Q
USC00118634        1088Q
USC00118684        1246S
USC00118740        1297S
USC00118742        1293Q
USC00118756        1172R
USC00118781        1095S
USC00118797        1209R
USC00118860        1048S
USC00118870        1215S
USC00118916        1285S
USC00118932        1095S
USC00119002        1155R
USC00119021        1208S
USC00119148        1045R
USC00119221        1265R
USC00119241        1104S
USC00119331        1232Q
USC00119354        1108S
USC00119469        1216R
USC00119480        1300Q
USC00119816        1317R
USC00119827        1306Q
USC00120096        1284Q
USC00120177        1207S
USC00120182        1216S
USC00120200        1202C
USC00120331        1232R
USC00120550        1224S
USC00120676        1257S
USC00120784        1274S
USC00120830        1201S
USC00120852        1171R
USC00120858        1200R
USC00121030        1137S
USC00121187        1152Q
USC00121229        1231R
USC00121256        1131R
USC00121303        1235Q
USC00121326        1264R
USC00121417        1294R
USC00121425        1195R
USC00121628        1308R
USC00121739        1238S
USC00121747        1169C
USC00121814        1016R
USC00121873        1281S
USC00121940        1289R
USC00122041        1269Q
USC00122096        1157C
USC00122149        1231C
USC00122161        1305R
USC00122184        1263R
USC00122309        1195S
USC00122594        1207R
USC00122605        1217S
USC00122638        1229R
USC00122660        1190R
USC00122731        1114R
USC00122814        1187R
USC00122816        1144R
USC00122825        1257S
USC00122931        1271R
USC00123078        1319R
USC00123082        1282C
USC00123091        1254Q
USC00123104        1199S
USC00123207        1137R
USC00123418        1239S
USC00123513        1323S
USC00123527        1345S
USC00123547        1258S
USC00123777        1237R
USC00124181        1214S
USC00124244        1261R
USC00124249        1217Q
USC00124272        1232R
USC00124286        1128R
USC00124356        1263R
USC00124372        1191S
USC00124527        1261R
USC00124613        1139R
USC00124642        1248R
USC00124657        1299R
USC00124662        1308S
USC00124667        1377R
USC00124715        1257S
USC00124730        1213R
USC00124778        1284Q
USC00124782        1304R
USC00124832        1170R
USC00124837        1271S
USC00124910        1214R
USC00124977        1241Q
USC00125050        1169R
USC00125055        1183R
USC00125117        1335C
USC00125174        1267C
USC00125237        1276S
USC00125337        1223S
USC00125394        1301Q
USC00125407        1237S
USC00125485        1125R
USC00125541        1220R
USC00125613        1228R
USC00125700        1126R
USC00125815        1172R
USC00125837        1231R
USC00125888        1253Q
USC00125923        1270R
USC00126001        1053S
USC00126023        1175S
USC00126056        1321R
USC00126151        1099S
USC00126164        1288C
USC00126179        1080Q
USC00126340        1105R
USC00126400        1317Q
USC00126401        1273R
USC00126420        1237Q
USC00126435        1310R
USC00126506        1264R
USC00126580        1231S
USC00126697        1033R
USC00126705        1171S
USC00126801        1264R
USC00126830        1246S
USC00126864        1281R
USC00126872        1130S
USC00126989        1232R
USC00127069        1244R
USC00127083        1115R
USC00127099        1211R
USC00127102        1293R
USC00127125        1171S
USC00127255        1227R
USC00127267        1229R
USC00127298        1200R
USC00127370        1174S
USC00127398        1182R
USC00127482        1250S
USC00127522        1401S
USC00127646        1240S
USC00127724        1158S
USC00127755        1125R
USC00127875        1310R
USC00127935        1292S
USC00127959        1213Q
USC00127999        1160S
USC00128036        1161S
USC00128290        1388S
USC00128436        1137Q
USC00128442        1203Q
USC00128549        1206R
USC00128698        1182S
USC00128723        1201R
USC00128732        1233R
USC00128784        1170R
USC00128967        1112R
USC00128992        1365Q
USC00128999        1257R
USC00129080        1217R
USC00129113        1224S
USC00129138        1312R
USC00129222        1264S
USC00129240        1278R
USC00129243        1258R
USC00129253        1236R
USC00129430        1190S
USC00129511        1403R
USC00129557        1196S
USC00129605        1204S
USC00129670        1274S
USC00129678        1220S
USC00129905        1346R
USC00130088        1116Q
USC00130112        1409S
USC00130133        1363S
USC00130149        1523Q
USC00130157        1383S
USC00130181        1142S
USC00130200        1461S
USC00130203        1485S
USC00130213        1451S
USC00130241        1456S
USC00130364        1453S
USC00130385        1342S
USC00130536        1376S
USC00130576        1423S
USC00130600        1401S
USC00130608        1289S
USC00130745        1397S
USC00130753        1492S
USC00130807        1531C
USC00130910        1318R
USC00130923        1380R
USC00130933        1364R
USC00130999        1334S
USC00131060        1377S
USC00131233        1405S
USC00131257        1368S
USC00131277        1300S
USC00131319        1455C
USC00131354        1420R
USC00131394        1423S
USC00131402        1421C
USC00131442        1270C
USC00131533        1385S
USC00131541        1360R
USC00131635        1273S
USC00131704        1539S
USC00131705        1452Q
USC00131710        1473S
USC00131731        1332R
USC00131742        1428R
USC00131833        1280S
USC00131954        1496S
USC00131962        1295S
USC00132110        1417C
USC00132171        1300S
USC00132209        1412R
USC00132235        1370S
USC00132299        1312C
USC00132311        1423S
USC00132364        1376S
USC00132388        1425S
USC00132573        1409S
USC00132603        1420R
USC00132689        1386S
USC00132724        1265Q
USC00132789        1299S
USC00132864        1465S
USC00132977        1385Q
USC00132999        1477S
USC00133007        1293S
USC00133108        1325S
USC00133120        1417S
USC00133239        1392S
USC00133288        1393Q
USC00133290        1355S
USC00133438        1297S
USC00133473        1376S
USC00133487        1421S
USC00133509        1440S
USC00133517        1329C
USC00133584        1507S
USC00133623        1435Q
USC00133632        1255C
USC00133675        1411Q
USC00133718        1092S
USC00133909        1351S
USC00133985        1288R
USC00134038        1310R
USC00134049        1535S
USC00134063        1339S
USC00134094        1439Q
USC00134101        1430S
USC00134142        1442S
USC00134228        1355S
USC00134244        1535S
USC00134308        1341C
USC00134342        1212R
USC00134381        1273S
USC00134389        1382S
USC00134502        1473R
USC00134557        1402C
USC00134561        1227S
USC00134585        1483S
USC00134620        1327R
USC00134624        1423Q
USC00134705        1309S
USC00134735        1124S
USC00134758        1388S
USC00134874        1318Q
USC00134894        1301S
USC00134926        1328S
USC00134963        1343R
USC00135086        1492S
USC00135123        1274S
USC00135127        1133R
USC00135131        1342S
USC00135198        1509S
USC00135230        1424S
USC00135232        1386Q
USC00135250        1357S
USC00135493        1188S
USC00135650        1396C
USC00135769        1432R
USC00135796        1346S
USC00135837        1366S
USC00135844        1385R
USC00135952        1512S
USC00135992        1359S
USC00136103        1355S
USC00136151        1387S
USC00136160        1360Q
USC00136190        1191S
USC00136199        1635Q
USC00136200        1444R
USC00136243        1204S
USC00136305        1396S
USC00136316        1437S
USC00136327        1418S
USC00136392        1397Q
USC00136492        1456S
USC00136527        1407S
USC00136566        1360S
USC00136590        1310Q
USC00136719        1427S
USC00136755        1464S
USC00136766        1405R
USC00136800        1308S
USC00136891        1358S
USC00136910        1518S
USC00136940        1337S
USC00137147        1182S
USC00137152        1159C
USC00137161        1334R
USC00137312        1387S
USC00137326        1444Q
USC00137386        1164S
USC00137594        1188C
USC00137613        1390S
USC00137664        1143R
USC00137669        1303S
USC00137678        1380S
USC00137700        1170C
USC00137713        1135R
USC00137726        1304S
USC00137844        1230S
USC00137859        1148R
USC00137892        1451Q
USC00137979        1441S
USC00138009        1512Q
USC00138026        1289R
USC00138062        1431R
USC00138266        1311S
USC00138270        1334S
USC00138296        1382C
USC00138339        1479R
USC00138410        1351Q
USC00138568        1381C
USC00138632        1399R
USC00138668        1228S
USC00138688        1318S
USC00138742        1415S
USC00138755        1459Q
USC00138806        1534S
USC00139062        1459R
USC00139067        1439S
USC00139132        1285S
USC00139750        1478S
USC00140010        1259S
USC00140073        1287Q
USC00140119        1105Q
USC00140135        1071S
USC00140190        1255Q
USC00140195        1479C
USC00140200        1096Q
USC00140201        1172R
USC00140313        1317S
USC00140326        1134Q
USC00140365         925S
USC00140405        1370S
USC00140439         949S
USC00140441         954S
USC00140443        1375S
USC00140447        1415S
USC00140535        1177Q
USC00140548        1252R
USC00140620         957R
USC00140637        1480Q
USC00140676         971S
USC00140679        1323R
USC00140682        1202S
USC00140693        1126S
USC00140802         867Q
USC00140810        1299Q
USC00140836         856S
USC00140865        1059R
USC00140877        1457R
USC00140911        1326R
USC00140926        1153Q
USC00140957        1433S
USC00141003        1301S
USC00141029         921R
USC00141057        1169S
USC00141068         944Q
USC00141104        1015C
USC00141141         988S
USC00141179        1053R
USC00141202        1385S
USC00141233        1144S
USC00141239        1333S
USC00141282        1255Q
USC00141351        1359R
USC00141355        1012R
USC00141371        1104S
USC00141383         912R
USC00141395        1206S
USC00141404        1523R
USC00141408        1431R
USC00141425        1338R
USC00141428        1467Q
USC00141435        1274R
USC00141452        1113S
USC00141467        1267Q
USC00141478        1200R
USC00141522         998S
USC00141536        1133S
USC00141559        1170S
USC00141593        1231S
USC00141612        1393S
USC00141632        1192Q
USC00141673        1275Q
USC00141699         909C
USC00141704        1050S
USC00141730         877S
USC00141733        1454Q
USC00141740        1297S
USC00141761        1153Q
USC00141795        1223S
USC00141858        1434S
USC00141867        1347S
USC00141874        1155Q
USC00141875        1102C
USC00141941        1236Q
USC00141999         982C
USC00142086         884S
USC00142135        1285C
USC00142213         933S
USC00142267        1398S
USC00142276        1293Q
USC00142329        1248Q
USC00142388        1376S
USC00142396        1383Q
USC00142401        1379S
USC00142409        1283R
USC00142432         816S
USC00142452         917S
USC00142459        1150R
USC00142472        1306Q
USC00142478        1289R
USC00142519        1315R
USC00142548        1446R
USC00142574        1290S
USC00142582        1335R
USC00142592        1033R
USC00142602        1386R
USC00142622        1459S
USC00142652        1244S
USC00142686        1459S
USC00142773        1251S
USC00142835        1434S
USC00142848        1400C
USC00142872        1306S
USC00142894        1451R
USC00142938        1099Q
USC00142945        1398S
USC00142980         841C
USC00143008        1420S
USC00143037        1097R
USC00143074        1290R
USC00143088         966Q
USC00143100        1115S
USC00143134        1224R
USC00143138        1302S
USC00143156         953Q
USC00143175         925S
USC00143218        1071S
USC00143239        1052S
USC00143248        1313C
USC00143257        1374R
USC00143323        1244C
USC00143331        1240R
USC00143366        1236Q
USC00143398        1343R
USC00143467        1314R
USC00143523        1080R
USC00143527         979S
USC00143545        1316Q
USC00143554         880C
USC00143594        1300S
USC00143620        1320Q
USC00143634        1265R
USC00143665         938S
USC00143667        1307S
USC00143686        1437R
USC00143759        1400S
USC00143810        1382S
USC00143822        1339S
USC00143837         861S
USC00143842        1400R
USC00143847        1069C
USC00143855         876S
USC00143867        1541R
USC00143897        1149R
USC00143929        1202R
USC00143930        1176C
USC00143954        1374S
USC00143974        1239C
USC00143984        1423C
USC00143997        1065C
USC00144073         850R
USC00144087         935S
USC00144089        1077S
USC00144104        1404R
USC00144114         807R
USC00144161         909C
USC00144166         883R
USC00144178        1150S
USC00144313        1167S
USC00144333        1097S
USC00144357        1040Q
USC00144421        1352S
USC00144464         872C
USC00144488        1407Q
USC00144530        1124R
USC00144559        1407S
USC00144588        1561S
USC00144598        1127S
USC00144608        1483S
USC00144613        1388S
USC00144642         869S
USC00144665         827R
USC00144675        1458S
USC00144695         821S
USC00144708        1381C
USC00144712        1158C
USC00144729        1437R
USC00144735        1187S
USC00144775         928S
USC00144802        1190R
USC00144807         997S
USC00144812        1439C
USC00144821        1002C
USC00144857        1112S
USC00144893        1117Q
USC00144912        1258R
USC00144937        1492S
USC00144972        1424S
USC00144982        1081S
USC00145039        1299S
USC00145063        1389S
USC00145069        1371S
USC00145115         999R
USC00145127         919C
USC00145132        1470C
USC00145152        1249C
USC00145171         907R
USC00145173        1046R
USC00145210        1417S
USC00145306        1286S
USC00145321        1408Q
USC00145335        1173S
USC00145355         859C
USC00145363        1256R
USC00145421         913R
USC00145463        1382S
USC00145483         903R
USC00145528        1394R
USC00145536        1335S
USC00145539        1214S
USC00145628        1101C
USC00145632        1506Q
USC00145692         938S
USC00145744        1203S
USC00145768        1141R
USC00145787         929S
USC00145852        1027R
USC00145856         872S
USC00145863        1197Q
USC00145870        1148R
USC00145888         875S
USC00145892         862R
USC00145906         947S
USC00145920         975C
USC00145972        1426S
USC00146014        1372S
USC00146076        1391R
USC00146084        1352S
USC00146088         966R
USC00146100        1410S
USC00146115        1265C
USC00146128        1376S
USC00146154        1414S
USC00146169        1299S
USC00146192         975S
USC00146209        1467S
USC00146217        1247S
USC00146242        1274S
USC00146292        1341Q
USC00146305        1354C
USC00146333        1444S
USC00146340        1189R
USC00146378         960R
USC00146414        1382S
USC00146435        1074R
USC00146498        1355S
USC00146524        1388S
USC00146549        1080S
USC00146573        1211Q
USC00146637         959R
USC00146679        1257R
USC00146685         895S
USC00146725        1383R
USC00146787         952C
USC00146808         780S
USC00146813         784S
USC00146907        1483Q
USC00146979        1340S
USC00147007        1431C
USC00147049         822R
USC00147050         717R
USC00147075        1304R
USC00147093         789S
USC00147095         795C
USC00147140         900S
USC00147192         992Q
USC00147248        1131S
USC00147271         857S
USC00147305        1225S
USC00147313        1107R
USC00147397         896S
USC00147407        1385Q
USC00147534        1430R
USC00147542        1078C
USC00147551        1177Q
USC00147796        1150S
USC00147809        1413S
USC00147832        1045R
USC00147904         840S
USC00147922         813S
USC00147965        1127Q
USC00147968        1121R
USC00148026        1169Q
USC00148038         794S
USC00148061        1357Q
USC00148086        1158S
USC00148114        1406S
USC00148156        1380S
USC00148235         812S
USC00148240         848Q
USC00148245        1047C
USC00148250        1371S
USC00148257        1102R
USC00148259        1343C
USC00148287         776S
USC00148293        1366R
USC00148323         979C
USC00148341        1360S
USC00148495         950C
USC00148498         885S
USC00148503        1224S
USC00148535         930Q
USC00148549        1420S
USC00148563        1409S
USC00148578        1323S
USC00148648        1026R
USC00148670        1281S
USC00148802        1323S
USC00148892        1360S
USC00148911        1301R
USC00148914         989R
USC00148935        1426Q
USC00148946        1112S
USC00148950        1174Q
USC00148964        1382S
USC00148988         862R
USC00149020        1393Q
USC00149026        1300S
USC00149040        1403R
USC00149080        1503R
USC00149202        1249Q
USC00150012        1216S
USC00150063        1317R
USC00150254        1267R
USC00150381        1383S
USC00150397        1256R
USC00150402        1273R
USC00150422        1319S
USC00150450        1328S
USC00150483        1291Q
USC00150490        1137R
USC00150619        1297R
USC00150630        1169S
USC00150700        1291S
USC00150804        1215S
USC00150858        1357Q
USC00150860        1251Q
USC00150875        1097S
USC00150904        1215S
USC00150906        1099R
USC00150940        1304S
USC00150955        1218Q
USC00151080        1360R
USC00151090        1070R
USC00151120        1194R
USC00151137        1186R
USC00151208        1201Q
USC00151210        1206S
USC00151227        1020S
USC00151251        1282Q
USC00151294        1170S
USC00151306        1211S
USC00151318        1250R
USC00151391        1221R
USC00151517        1243Q
USC00151640        1489S
USC00151725        1218S
USC00151727        1031R
USC00151810        1346Q
USC00151890        1213R
USC00151895        1365Q
USC00151900        1338R
USC00151927        1383Q
USC00151948        1131Q
USC00151965        1137R
USC00151998        1049R
USC00152040        1199S
USC00152072        1083S
USC00152214        1195S
USC00152250        1094R
USC00152358        1079R
USC00152366        1183R
USC00152409        1260R
USC00152442        1223Q
USC00152500        1082S
USC00152512        1293R
USC00152548        1195R
USC00152575        1285Q
USC00152775        1175R
USC00152791        1341S
USC00152825        1266S
USC00152903        1314Q
USC00153006        1422R
USC00153030        1272R
USC00153052        1422R
USC00153112        1208R
USC00153194        1120R
USC00153203        1260R
USC00153223        1218R
USC00153230        1265Q
USC00153246        1322S
USC00153252        1188S
USC00153382        1181R
USC00153389        1275R
USC00153391        1246R
USC00153398        1293S
USC00153430        1267S
USC00153435        1282R
USC00153629        1297Q
USC00153712        1231S
USC00153714        1394C
USC00153741        1317R
USC00153744        1279Q
USC00153762        1007S
USC00153768        1018S
USC00153798        1177Q
USC00153929        1224Q
USC00153994        1152S
USC00154138        1304Q
USC00154208        1257R
USC00154369        1243C
USC00154375        1326Q
USC00154620        1260R
USC00154703        1184R
USC00154732        1064R
USC00154755        1352R
USC00154848        1068S
USC00154857        1240R
USC00154905        1261R
USC00154946        1183R
USC00154948        1268Q
USC00154955        1035S
USC00154958        1184Q
USC00154967        1095R
USC00155067        1106S
USC00155072        1089R
USC00155097        1305R
USC00155111        1417R
USC00155165        1313Q
USC00155175        1242R
USC00155235        1148S
USC00155243        1226S
USC00155370        1376R
USC00155389        1391Q
USC00155444        1124Q
USC00155524        1234S
USC00155559        1257R
USC00155640        1231R
USC00155648        1223S
USC00155694        1264S
USC00155757        1225Q
USC00155834        1176S
USC00156012        1276Q
USC00156028        1366S
USC00156091        1008R
USC00156094        1009R
USC00156117        1057R
USC00156136        1197S
USC00156155        1114R
USC00156170        1293S
USC00156360        1173R
USC00156379        1391R
USC00156495        1082Q
USC00156580        1201S
USC00156595        1011S
USC00156624        1329Q
USC00156810        1188S
USC00156882        1188S
USC00156988        1137S
USC00157049        1191Q
USC00157134        1316R
USC00157215        1209S
USC00157234        1019S
USC00157300        1183Q
USC00157324        1158R
USC00157334        1128S
USC00157431        1322C
USC00157441        1351R
USC00157508        1287R
USC00157510        1277S
USC00157592         908Q
USC00157604        1156C
USC00157648        1249R
USC00157652        1326Q
USC00157677        1367R
USC00157800        1159S
USC00158070        1295R
USC00158348        1278R
USC00158432        1256Q
USC00158446        1183S
USC00158551        1243S
USC00158555        1169Q
USC00158709        1272R
USC00158714        1216R
USC00158824        1139S
USC00160007        1930S
USC00160012        1930Q
USC00160016        1855R
USC00160021        2084S
USC00160098        1388S
USC00160103        1310R
USC00160205        1804S
USC00160238        1561R
USC00160277        1144Q
USC00160349        1155C
USC00160462        1621S
USC00160537        1215S
USC00160546        1812R
USC00160548        1951R
USC00160558        1928C
USC00160565        1819S
USC00160617        1528S
USC00160658        1912Q
USC00160718        1197Q
USC00160800        1209S
USC00160945        1841R
USC00161232        1287S
USC00161235        1254R
USC00161246        1741R
USC00161287        1310S
USC00161365        1579R
USC00161411        1150S
USC00161535        1649R
USC00161565        1805S
USC00161866        1277Q
USC00161891        1582R
USC00161899        1603S
USC00161941        1233R
USC00161979        1280S
USC00162002        2033R
USC00162121        1128S
USC00162145        1202R
USC00162151        1851S
USC00162212        1760S
USC00162350        1858S
USC00162361        1671R
USC00162367        1562S
USC00162534        1901C
USC00162536        1970Q
USC00162641        1570R
USC00162800        1479R
USC00162812        1371R
USC00162981        1473S
USC00163079        1332Q
USC00163165        1917R
USC00163313        2362S
USC00163322        1881R
USC00163327        1545R
USC00163331        1767R
USC00163433        2283S
USC00163695        1922S
USC00163741        1386R
USC00163800        1629S
USC00163804        1235R
USC00163807        1904R
USC00163829        2004R
USC00163867        1759R
USC00163877        1233R
USC00163979        1826R
USC00164030        1849S
USC00164034        1967R
USC00164050        1169R
USC00164131        1192Q
USC00164288        1277S
USC00164355        1124S
USC00164398        1105S
USC00164407        2255R
USC00164573        1647Q
USC00164592        1149R
USC00164674        2112S
USC00164696        1301R
USC00164700        1689C
USC00164732        1173S
USC00164739        1226S
USC00164775        1768R
USC00164816        1109S
USC00164859        1708S
USC00165021        1698R
USC00165065        1781Q
USC00165072        1874Q
USC00165074        1761S
USC00165076        1897R
USC00165090        1100S
USC00165146        1378Q
USC00165266        1261S
USC00165287        1375R
USC00165296        2056R
USC00165430        1648R
USC00165438        1833S
USC00165522        1108R
USC00165527        1171R
USC00165610        1661R
USC00165620        1702S
USC00165624        2171R
USC00165630        1327S
USC00165783        2109R
USC00165874        1090R
USC00165892        1229S
USC00165896        1072R
USC00165908        1073R
USC00165926        2013Q
USC00165935        1317R
USC00166244        1133S
USC00166314        1153S
USC00166364        1130S
USC00166394        2100C
USC00166431        1965R
USC00166434        1782Q
USC00166466        1706R
USC00166582        1152S
USC00166584        1233Q
USC00166657        2018R
USC00166666        2146R
USC00166686        1458S
USC00166836        1497S
USC00166866        1152S
USC00166868        1147R
USC00166911        1753C
USC00166938        1647C
USC00166968        1860Q
USC00166978        1154S
USC00166995        1640S
USC00167096        2007S
USC00167304        2079S
USC00167312        1166Q
USC00167344        1228R
USC00167366        1642S
USC00167425        1778R
USC00167448        1822S
USC00167691        1152R
USC00167729         959R
USC00167732        1204R
USC00167738        1133S
USC00167767        2063S
USC00167924        1194S
USC00167932        1886S
USC00168046        1415S
USC00168067        1107C
USC00168094        1195R
USC00168108        1961R
USC00168136        1580S
USC00168139        1730S
USC00168163        1254S
USC00168181        2004R
USC00168405        1937R
USC00168436        1142S
USC00168444        1214Q
USC00168448        1104Q
USC00168539        1932S
USC00168543        1944R
USC00168669        1240R
USC00168785        1106R
USC00168831        1950C
USC00168861        1687R
USC00168906        1792Q
USC00168923        1130S
USC00168941        2132R
USC00169013        2434S
USC00169074        1206Q
USC00169357        1364S
USC00169369        1236R
USC00169392        1109R
USC00169480        1692R
USC00169631        1283R
USC00169803        1268R
USC00169804        1219Q
USC00169806        1209S
USC00169809        1154R
USC00169930        1705R
USC00170100        1093R
USC00170177        1072R
USC00170200        1154R
USC00170217        1362Q
USC00170398        1196R
USC00170409        1043R
USC00170480        1051S
USC00170600        1250R
USC00170655        1168R
USC00170814        1238S
USC00170833        1157R
USC00171131        1219Q
USC00171472        1129R
USC00171628        1102S
USC00171833        1108R
USC00171975        1092S
USC00172048        1133R
USC00172238        1201S
USC00172426         974S
USC00172602        1173R
USC00172620        1035R
USC00172623        1097Q
USC00172700        1190S
USC00172765        1248C
USC00172878        1222S
USC00173046        1075S
USC00173261         977S
USC00173295        1219R
USC00173353        1260Q
USC00173417        1163S
USC00173567        1106C
USC00173570        1232R
USC00173588        1211S
USC00173862        1218R
USC00173944        1151R
USC00174086        1268S
USC00174183        1102R
USC00174193        1208R
USC00174324        1308S
USC00174566        1049S
USC00174683        1113Q
USC00174745        1179Q
USC00174781        1135S
USC00174817        1248R
USC00174878        1097S
USC00174927        1047S
USC00175261        1178S
USC00175304        1215S
USC00175347        1145Q
USC00175460        1168S
USC00175675        1041C
USC00175736        1236R
USC00176011        1212Q
USC00176060        1184Q
USC00176430         980R
USC00176594        1188Q
USC00176705        1274R
USC00176707        1310Q
USC00176721        1354R
USC00176856        1161R
USC00176875        1121Q
USC00176881         981R
USC00176937        1082S
USC00177037        1228S
USC00177039        1270R
USC00177174        1222R
USC00177238        1069R
USC00177325        1379R
USC00177479        1224S
USC00177654        1178R
USC00178353        1111R
USC00178792        1170Q
USC00178817        1148Q
USC00178965        1243S
USC00178974        1108S
USC00179151        1100S
USC00179294        1199R
USC00179314        1166S
USC00179538        1193R
USC00179547        1096Q
USC00179593        1077R
USC00179891        1043S
USC00180193        1261R
USC00180335        1146S
USC00180700        1091S
USC00180732        1232R
USC00181530        1183S
USC00181750        1137S
USC00181862        1114R
USC00181995        1222R
USC00182060        1238R
USC00182282        1001S
USC00182325        1266S
USC00182335        1011R
USC00182336        1255R
USC00182770        1154R
USC00182906        1097S
USC00183348        1085R
USC00183353        1174Q
USC00183415        1160S
USC00183675        1207R
USC00184030        1002R
USC00185080        1222R
USC00185111        1171S
USC00185832        1353R
USC00185865        1226S
USC00185894        1150R
USC00185934        1110R
USC00186350        1181S
USC00186620        1366S
USC00186770        1164R
USC00186800        1233Q
USC00187272        1097R
USC00187330        1252R
USC00187705        1006R
USC00187806        1250S
USC00188000        1323S
USC00188065        1155S
USC00188207        1121Q
USC00188371        1107Q
USC00188380        1276C
USC00189030        1141R
USC00189070        1181S
USC00189140        1168R
USC00189440        1196R
USC00189570        1060Q
USC00189750        1165R
USC00190120        1189S
USC00190190        1245S
USC00190192        1240Q
USC00190213        1294C
USC00190408        1268S
USC00190535        1172S
USC00190551        1286R
USC00190562        1333S
USC00190593        1025R
USC00190666        1267S
USC00190759        1379R
USC00190840        1189Q
USC00190860        1184S
USC00190998        1223R
USC00191386         989S
USC00191436        1299R
USC00191611        1376R
USC00192107        1159R
USC00192451        1096S
USC00192501        1076S
USC00192997        1220S
USC00193052        1209R
USC00193213        1344R
USC00193229        1251Q
USC00193276        1133R
USC00193401        1290R
USC00193405        1247R
USC00193471        1150R
USC00193505        1143S
USC00193549        1351R
USC00193624        1218S
USC00193702        1170R
USC00193821         938R
USC00193876        1191R
USC00193890        1265Q
USC00193985        1192R
USC00194075        1291R
USC00194105        1146Q
USC00194131        1307Q
USC00194313        1181R
USC00194502        1104R
USC00194580        1250S
USC00194711        1155S
USC00194744        1121C
USC00194760        1180R
USC00195175        1195S
USC00195246        1258R
USC00195285        1133S
USC00195306        1524R
USC00195524        1196S
USC00195984        1182S
USC00196245        1225R
USC00196435        1356R
USC00196486        1158S
USC00196783        1176S
USC00196938        1212S
USC00197627        1306R
USC00198278        1269C
USC00198367        1127S
USC00198573        1303S
USC00198757        1190C
USC00198793        1319S
USC00199193        1234Q
USC00199316        1231R
USC00199371        1259R
USC00199972        1260R
USC00200032        1117S
USC00200089        1057Q
USC00200094        1166S
USC00200106         947Q
USC00200128        1115R
USC00200146         968C
USC00200228        1080Q
USC00200230        1099C
USC00200342        1055Q
USC00200417         991S
USC00200446         999R
USC00200632         892R
USC00200718        1115R
USC00200758        1102Q
USC00200770        1002Q
USC00200779        1065S
USC00200842        1069Q
USC00200864        1065S
USC00200925         923C
USC00201238         967Q
USC00201299         987R
USC00201343         978Q
USC00201361         986S
USC00201435        1026Q
USC00201439        1054R
USC00201468         868R
USC00201476         981S
USC00201486         960R
USC00201492         937S
USC00201502        1036R
USC00201522         989Q
USC00201675        1188S
USC00201802         948R
USC00201818         955Q
USC00201896         825S
USC00202015         924S
USC00202016        1017Q
USC00202094         908S
USC00202140        1001R
USC00202250        1179S
USC00202308        1049Q
USC00202328         988Q
USC00202381         908C
USC00202395        1006R
USC00202423         936S
USC00202427         998Q
USC00202437        1007S
USC00202445        1156S
USC00202503         906Q
USC00202631         944R
USC00202691         972Q
USC00202788        1028Q
USC00202804         973Q
USC00202851         920S
USC00202984         967R
USC00203078         853Q
USC00203096         954S
USC00203099        1031R
USC00203188        1160Q
USC00203268         997Q
USC00203278         980Q
USC00203290         840R
USC00203295        1000Q
USC00203306         979R
USC00203391        1108S
USC00203429         992C
USC00203477        1053S
USC00203504        1164R
USC00203529         988S
USC00203585         906R
USC00203628        1040R
USC00203632         961R
USC00203639        1015Q
USC00203661        1110S
USC00203712        1002Q
USC00203744        1160S
USC00203769         917R
USC00203823        1151S
USC00203858        1050R
USC00203930        1003Q
USC00203932         984S
USC00203947         974S
USC00203969        1062R
USC00204078        1048S
USC00204090        1019S
USC00204104        1113S
USC00204130         938Q
USC00204257         998S
USC00204258        1047Q
USC00204320        1046S
USC00204399        1001Q
USC00204502         992S
USC00204655        1016S
USC00204659        1208Q
USC00204793        1006Q
USC00204808        1005Q
USC00204939         948R
USC00204944        1078S
USC00204954        1010Q
USC00204967        1067Q
USC00205050        1024Q
USC00205065        1043S
USC00205073         924Q
USC00205097         949R
USC00205168         939Q
USC00205406        1050Q
USC00205434         900S
USC00205451        1057Q
USC00205452         950Q
USC00205531         909R
USC00205533        1028Q
USC00205558        1024R
USC00205567         900S
USC00205591         872Q
USC00205603        1136S
USC00205662         964R
USC00205690        1011R
USC00205807         993Q
USC00205822        1008Q
USC00205892        1170S
USC00206007         898R
USC00206012         900R
USC00206158         942R
USC00206184         910S
USC00206220         917S
USC00206228         994Q
USC00206300         953R
USC00206442         922Q
USC00206507         885S
USC00206510         884Q
USC00206583         900Q
USC00206587         946Q
USC00206658         899R
USC00206662         998Q
USC00206663         969Q
USC00206680         985S
USC00206982        1031Q
USC00207094         964S
USC00207190         942R
USC00207222         987S
USC00207274         800R
USC00207280         943S
USC00207308        1042Q
USC00207312        1039Q
USC00207350         948R
USC00207364         883R
USC00207419         963Q
USC00207684         969Q
USC00207690        1057Q
USC00207742        1008R
USC00207812        1100C
USC00207820        1012R
USC00207867        1047R
USC00208043         938Q
USC00208080        1087Q
USC00208184        1198S
USC00208202        1080Q
USC00208249         967Q
USC00208293         885R
USC00208345        1014Q
USC00208417         934S
USC00208443        1098Q
USC00208468         975R
USC00208680        1035R
USC00208706         994Q
USC00208772        1019S
USC00208774        1019Q
USC00208779         938Q
USC00208800         985S
USC00208890         981R
USC00208920         913S
USC00208941        1024Q
USC00208972        1012Q
USC00209006         993R
USC00209110         989Q
USC00209188         949R
USC00210018        1089S
USC00210050        1049R
USC00210059        1179R
USC00210075        1372S
